pc_code,pc_description,unit,country_code,country_name,quantity,value,pc_type
P5,Project_Goods,Kgs,10245,Malaysia,632,0.009936,Manifacutred_goods
P5,Project_Goods,Kgs,10273,Nepal,36966,0.216703,Manifacutred_goods
P5,Project_Goods,Kgs,10359,Singapore,483,0.024192,Manifacutred_goods
P5,Project_Goods,Kgs,10437,Vietnam_Soc_Rep,7950,0.140109,Manifacutred_goods
P5,Project_Goods,Kgs,11351,Saudi_Arab,40309,0.193823,Manifacutred_goods
P5,Project_Goods,Kgs,11419,U_Arab_Emts,30623,0.362433,Manifacutred_goods
P5,Project_Goods,Kgs,13147,Germany,2624,0.03148,Manifacutred_goods
P5,Project_Goods,Kgs,13421,U_K,1340,0.405094,Manifacutred_goods
P6,Manmade_Staple_Fibre,Kgs,5423,U_S_A,51213176,67.795496,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10027,Bangladesh_Pr,27302417,41.25452,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10077,China_P_Rp,19722922,31.486385,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10179,Hong_Kong,591913,1.031979,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10205,Japan,127943,0.175456,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10217,Korea_Rp,142907,0.190181,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10245,Malaysia,64836,0.05048,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10273,Nepal,20962583,24.238886,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10359,Singapore,466064,0.680278,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,10437,Vietnam_Soc_Rep,545260,1.229431,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,11351,Saudi_Arab,1584357,2.238921,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,11419,U_Arab_Emts,917368,1.341401,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,13147,Germany,10975560,14.75995,Chemical_Industry
P6,Manmade_Staple_Fibre,Kgs,13421,U_K,3140387,3.601494,Chemical_Industry
P7,Cotton_Yarn,Ton,5423,U_S_A,4695,14.723555,Textile
P7,Cotton_Yarn,Ton,7171,Guyana,0,3.90E-05,Textile
P7,Cotton_Yarn,Ton,10027,Bangladesh_Pr,194345,571.718123,Textile
P7,Cotton_Yarn,Ton,10077,China_P_Rp,588583,1474.514808,Textile
P7,Cotton_Yarn,Ton,10179,Hong_Kong,17834,49.068279,Textile
P7,Cotton_Yarn,Ton,10205,Japan,9007,45.780059,Textile
P7,Cotton_Yarn,Ton,10217,Korea_Rp,34997,107.726563,Textile
P7,Cotton_Yarn,Ton,10245,Malaysia,8421,23.909285,Textile
P7,Cotton_Yarn,Ton,10273,Nepal,3813,8.58133,Textile
P7,Cotton_Yarn,Ton,10359,Singapore,369,1.127815,Textile
P7,Cotton_Yarn,Ton,10437,Vietnam_Soc_Rep,24004,70.211158,Textile
P7,Cotton_Yarn,Ton,11351,Saudi_Arab,122,0.396573,Textile
P7,Cotton_Yarn,Ton,11419,U_Arab_Emts,3706,9.349933,Textile
P7,Cotton_Yarn,Ton,13147,Germany,15142,51.15218,Textile
P7,Cotton_Yarn,Ton,13421,U_K,1078,3.708117,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,5423,U_S_A,NA,2037.286281,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,7171,Guyana,NA,0.087975,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10027,Bangladesh_Pr,NA,401.508275,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10077,China_P_Rp,NA,37.881411,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10179,Hong_Kong,NA,12.736328,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10205,Japan,NA,42.818964,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10217,Korea_Rp,NA,85.313529,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10245,Malaysia,NA,18.934023,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10273,Nepal,NA,47.282887,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10359,Singapore,NA,7.062035,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,10437,Vietnam_Soc_Rep,NA,23.772835,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,11351,Saudi_Arab,NA,24.547394,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,11419,U_Arab_Emts,NA,200.490077,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,13147,Germany,NA,185.427137,Textile
P8,"Cotton_Fabrics,_Madeups_Etc.",Na,13421,U_K,NA,213.313752,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,5423,U_S_A,NA,59.18461,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,7171,Guyana,NA,0.021362,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10027,Bangladesh_Pr,NA,29.562246,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10077,China_P_Rp,NA,3.798465,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10179,Hong_Kong,NA,4.018677,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10205,Japan,NA,3.526627,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10217,Korea_Rp,NA,2.932909,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10245,Malaysia,NA,4.611456,Textile
