Date,Price,Open,High,Low,Change ,calamities
8 21 2014,60.675,60.695,60.8,60.615,0.1,
8 22 2014,60.47,60.495,60.56,60.365,-0.34,
8 25 2014,60.57,60.555,60.58,60.405,0.17,
8 26 2014,60.435,60.505,60.58,60.435,-0.22,
8 27 2014,60.455,60.485,60.515,60.35,0.03,
8 28 2014,60.5,60.405,60.698,60.365,0.07,
8 29 2014,60.52,60.51,60.55,60.47,0.03,
09 01 2014,60.53,60.51,60.535,60.425,0.02,
09 02 2014,60.685,60.585,60.695,60.495,0.26,floods
09 03 2014,60.49,60.605,60.695,60.335,-0.32,floods
09 04 2014,60.36,60.465,60.49,60.355,-0.21,floods
09 05 2014,60.395,60.445,60.505,60.38,0.06,floods
09 08 2014,60.275,60.305,60.325,60.212,-0.2,floods
09 09 2014,60.605,60.435,60.673,60.405,0.55,floods
09 10 2014,60.93,60.78,61.045,60.76,0.54,floods
09 11 2014,60.93,60.845,60.945,60.72,0,floods
09 12 2014,60.655,60.975,61.025,60.645,-0.45,floods
9 15 2014,61.105,60.655,61.175,60.655,0.74,floods
9 16 2014,61.06,61.025,61.165,61.007,-0.07,floods
9 17 2014,60.915,60.985,61.043,60.83,-0.24,floods
